USA 25 AIRFOIL (usa25-il)
100.000000,0.000000                           
94.985000,1.377000                             
89.973000,2.594000
79.953000,4.467000
69.936000,6.031000
59.923000,7.235000
49.914000,8.149000
39.906000,8.873000
29.901000,9.337000
19.909000,8.631000
14.918000,7.778000
9.931000,6.525000
7.437000,5.594000
4.953000,4.453000
2.469000,2.926000
1.231000,1.783000
0.000000,0.000000
1.263000,-1.217000
2.515000,-1.383000
5.016000,-1.527000
7.514000,-1.350000
10.011000,-1.054000
15.003000,-0.321000
19.996000,0.362000
29.988000,1.138000
39.990000,0.974000
49.996000,0.420000
60.003000,-0.264000
70.008000,-0.708000
80.008010,-0.732000
90.005000,-0.426000
95.002000,-0.193000
100.000000,0.000000
